iter	Passed	Remaining
0	0	759
1	1	679
2	1	646
3	2	625
4	3	610
5	3	605
6	4	599
7	4	600
8	5	605
9	6	602
10	6	603
11	7	602
12	7	600
13	8	598
14	9	598
15	9	598
16	10	612
17	11	616
18	11	614
19	12	613
20	13	611
21	13	609
22	14	607
23	14	604
24	15	603
25	16	600
26	16	598
27	17	595
28	17	593
29	18	592
30	18	591
31	19	589
32	20	588
33	20	587
34	21	585
35	21	584
36	22	583
37	24	619
38	25	617
39	25	616
40	26	614
41	26	613
42	27	611
43	28	609
44	28	615
45	41	863
46	42	859
47	43	854
48	43	849
49	44	843
50	44	837
51	45	830
52	46	824
53	46	818
54	47	812
55	47	806
56	48	802
57	49	797
58	49	793
59	50	789
60	50	784
61	51	779
62	52	775
63	52	771
64	53	766
65	53	762
66	54	758
67	55	754
68	55	749
69	56	745
70	56	742
71	57	738
72	57	734
73	58	731
74	58	727
75	59	724
76	60	720
77	60	717
78	61	714
79	61	710
80	62	708
81	63	706
82	63	700
83	63	697
84	64	694
85	65	692
86	65	689
87	66	687
88	67	686
89	67	684
90	68	683
91	68	680
92	69	678
93	70	675
94	70	673
95	71	670
96	71	668
97	72	666
98	72	663
99	73	661
100	74	658
101	74	656
102	75	654
103	75	652
104	76	650
105	76	648
106	86	722
107	87	720
108	87	718
109	88	716
110	89	713
111	89	710
112	90	708
113	90	706
114	91	703
115	92	701
116	92	697
117	93	695
118	93	692
119	94	690
120	94	688
121	95	685
122	95	683
123	96	680
124	96	678
125	97	676
126	97	673
127	98	671
128	99	669
129	99	666
130	100	664
131	100	662
132	101	660
133	101	658
134	102	656
135	103	654
136	103	652
137	104	650
138	104	648
139	105	646
140	105	644
141	106	641
142	106	640
143	107	638
144	107	636
145	108	634
146	109	634
147	110	633
148	110	632
149	111	631
150	112	630
151	112	629
152	113	628
153	113	626
154	114	624
155	115	622
156	115	621
157	116	619
158	116	617
159	117	616
160	117	613
161	118	612
162	118	610
163	119	609
164	120	607
165	120	606
166	122	608
167	123	609
168	123	608
169	124	608
170	125	607
171	126	607
172	127	607
173	127	607
174	128	607
175	129	606
176	130	605
177	130	604
178	131	602
179	132	601
180	132	599
181	133	598
182	133	597
183	134	595
184	134	594
185	135	592
186	135	591
187	136	589
188	137	588
189	137	587
190	138	585
191	138	584
192	139	582
193	139	581
194	140	580
195	141	578
196	141	577
